rating,rating_count,cost,name,city,cuisine
4.4,50,200.0,17575,1,1530
3.8,100,100.0,41464,1,228
3.7,20,250.0,33533,1,630
3.6,20,200.0,31582,1,511
4.0,100,150.0,41407,1,1158
4.2,20,100.0,14923,1,1409
4.2,20,100.0,32215,1,1537
4.4,50,300.0,4629,1,800
4.0,20,200.0,29796,1,611
4.7,20,300.0,11362,1,622
4.2,20,200.0,30054,1,1130
4.4,20,400.0,10465,1,1277
4.1,100,150.0,24285,1,1158
4.0,20,250.0,31128,1,163
4.0,20,200.0,4845,1,1158
3.5,20,100.0,32542,3,154
3.5,100,400.0,16686,3,15
3.6,20,100.0,3067,3,418
3.5,100,150.0,15127,3,607
3.1,20,150.0,8137,3,439
3.4,50,400.0,10138,3,816
3.5,50,200.0,15846,3,282
3.7,100,300.0,16170,3,816
3.4,50,400.0,11862,3,816
4.0,20,250.0,23040,3,559
3.6,50,250.0,20789,3,282
3.3,20,400.0,34460,3,282
3.1,20,250.0,29610,3,1443
3.7,50,250.0,36136,3,447
3.6,20,100.0,18289,3,282
4.8,20,300.0,19992,4,559
4.1,500,200.0,20209,4,1293
3.3,100,300.0,7671,4,464
3.7,50,300.0,6641,4,263
3.6,100,150.0,1294,4,297
3.3,100,200.0,16932,4,154
3.8,100,300.0,37835,4,816
4.0,50,200.0,24193,4,1443
4.4,50,399.0,24630,4,179
4.0,500,400.0,18185,4,50
3.5,100,200.0,5787,4,447
3.9,500,249.0,10569,4,1465
3.3,100,350.0,27517,4,1277
3.9,500,399.0,17888,4,816
3.7,500,150.0,19584,4,329
3.8,50,400.0,40745,4,21
4.4,20,400.0,36077,4,1221
2.7,20,500.0,18810,4,1425
4.3,100,99.0,24988,4,1528
3.8,50,200.0,23337,4,1146
4.4,500,120.0,24274,4,784
4.0,100,300.0,14403,4,1218
3.5,20,250.0,8465,4,321
4.1,500,200.0,18739,4,1175
4.1,50,400.0,10465,4,1277
4.1,100,499.0,23524,4,816
4.1,100,150.0,3894,4,154
4.3,100,400.0,9654,4,1476
2.9,20,499.0,5052,4,310
3.9,100,200.0,20698,4,1175
4.3,100,299.0,37670,4,1443
4.5,100,120.0,13341,4,784
4.0,1,399.0,2910,4,862
3.8,100,300.0,4835,4,30
3.5,100,200.0,18953,4,800
3.3,100,350.0,34769,4,747
3.6,20,200.0,40251,4,418
4.0,100,500.0,993,4,512
2.7,20,249.0,37815,4,1453
4.3,500,299.0,2141,4,1465
3.8,50,150.0,19527,4,282
2.5,20,150.0,36726,4,1175
3.3,20,199.0,3341,4,1307
4.2,100,399.0,22997,4,217
4.2,100,200.0,1573,4,1500
3.7,20,200.0,28994,4,859
3.2,100,399.0,37772,4,816
4.3,50,100.0,22362,4,1451
4.2,50,399.0,8230,4,447
3.6,20,300.0,9262,4,436
3.3,20,200.0,29253,4,464
4.1,50,200.0,24987,4,1546
4.3,20,199.0,11442,4,1399
3.8,20,50.0,32173,4,248
4.1,100,200.0,5755,4,166
4.2,20,200.0,2378,4,480
3.7,20,400.0,37057,4,158
4.2,100,399.0,20512,4,178
4.3,20,200.0,24915,4,1546
4.1,100,299.0,35795,4,401
3.8,50,300.0,12627,4,429
3.5,20,100.0,8481,4,1595
4.0,50,300.0,25903,4,464
4.0,20,400.0,15040,4,418
4.4,20,199.0,3187,4,166
3.8,50,250.0,5278,4,800
4.3,20,400.0,7345,4,1175
2.4,50,200.0,3432,4,282
3.8,50,200.0,27558,4,1307
4.3,20,499.0,39693,4,1310
4.3,20,299.0,4645,4,228
4.5,20,400.0,11084,4,816
4.5,20,299.0,36561,4,774
4.0,20,499.0,19975,4,816
4.1,20,300.0,5456,4,816
4.0,20,399.0,33791,4,530
4.6,50,250.0,4290,4,577
3.7,50,199.0,31324,4,816
3.5,20,200.0,20652,4,1158
3.3,20,499.0,8402,4,816
3.6,100,299.0,25313,4,1309
3.5,20,200.0,4735,4,447
3.8,20,100.0,1291,4,800
4.3,20,199.0,8310,4,429
3.9,20,200.0,5763,4,166
3.9,500,299.0,7769,4,816
3.4,20,200.0,506,4,447
4.5,100,200.0,22593,4,1546
3.7,100,200.0,27671,4,1298
4.1,100,100.0,13231,4,1443
4.1,50,150.0,2484,4,475
4.0,50,349.0,3747,4,816
3.7,1,399.0,17891,4,812
4.4,50,200.0,36781,4,1217
3.7,100,200.0,9858,4,429
3.9,500,300.0,37485,4,1175
4.1,100,150.0,22357,4,432
4.0,100,200.0,10555,4,1453
3.1,100,299.0,7929,4,1307
4.3,100,200.0,24916,4,1546
3.9,100,300.0,20495,4,1282
4.2,100,200.0,30341,4,1546
4.1,100,350.0,3410,4,308
3.9,100,200.0,7130,4,429
3.8,50,250.0,24210,4,302
4.1,500,600.0,5014,4,308
4.1,100,200.0,1931,4,1638
3.5,100,299.0,20281,4,447
3.9,100,499.0,38343,4,816
4.5,100,200.0,36740,4,242
4.0,100,400.0,31279,4,816
3.7,50,300.0,5761,4,154
3.7,500,200.0,39291,4,816
4.1,20,299.0,30315,4,816
4.2,100,200.0,33443,4,800
3.0,100,200.0,26885,4,297
3.5,20,200.0,33155,4,1438
3.7,20,200.0,36788,4,292
4.1,50,350.0,3437,4,308
3.9,50,150.0,38615,4,1438
3.4,500,200.0,26886,4,812
4.3,100,200.0,17528,4,217
4.0,20,200.0,5722,4,1217
3.7,20,499.0,37201,4,816
4.1,50,400.0,17159,4,819
3.5,100,200.0,21176,4,503
3.8,20,300.0,19014,4,816
4.2,20,299.0,24080,4,793
3.3,50,200.0,23350,4,1616
4.0,100,200.0,30332,4,812
4.2,100,599.0,17736,4,1175
3.8,20,150.0,12680,4,475
3.2,20,199.0,35401,4,1595
4.2,100,150.0,3629,4,353
4.6,50,200.0,39329,4,774
3.9,500,350.0,12398,4,1175
3.0,20,200.0,37439,4,816
4.5,100,199.0,10543,4,1443
4.2,1,399.0,15453,4,816
3.6,20,100.0,3246,4,1175
4.1,100,199.0,21522,4,800
3.5,20,200.0,26371,4,1285
4.2,50,199.0,24989,4,1546
3.8,50,400.0,40019,4,436
3.8,20,200.0,17890,4,1500
3.1,20,150.0,9393,4,1443
4.5,20,399.0,36932,4,154
3.8,20,150.0,18685,4,475
4.6,50,100.0,26532,4,225
3.9,100,300.0,27380,4,816
3.6,20,200.0,37617,4,1175
4.4,20,150.0,2170,4,1476
3.9,20,250.0,259,4,447
3.5,20,200.0,26289,4,846
4.1,20,200.0,37047,4,418
4.1,100,100.0,25727,4,1148
3.9,20,200.0,22777,4,1198
4.2,50,299.0,23156,4,1546
4.1,50,150.0,2464,4,439
4.4,100,150.0,33212,4,1546
4.1,100,399.0,18210,4,846
4.0,20,290.0,13425,4,1171
4.2,100,300.0,36722,4,862
4.0,1,400.0,28377,4,812
3.9,100,200.0,7449,4,418
4.0,100,200.0,38086,4,816
3.9,20,200.0,30095,4,154
3.9,20,200.0,30600,4,464
3.9,20,400.0,30449,4,436
4.0,50,599.0,39173,4,816
3.8,20,100.0,13179,4,1546
3.9,20,199.0,11891,4,864
4.0,50,200.0,24194,4,1528
4.0,100,300.0,37123,4,816
3.5,20,200.0,9857,4,331
4.0,20,300.0,14043,4,1175
4.3,100,200.0,16533,4,321
3.6,50,50.0,28322,4,1399
3.6,20,200.0,18987,4,1562
3.9,20,200.0,3241,4,475
4.4,100,150.0,11372,4,462
4.2,50,150.0,1833,4,1148
4.4,100,299.0,2393,4,859
3.9,50,250.0,36638,4,464
3.8,50,200.0,18279,5,869
3.8,50,150.0,20384,5,577
4.1,100,250.0,9809,5,1476
3.8,50,250.0,30268,5,282
3.5,50,150.0,32653,5,98
4.0,100,150.0,2800,5,1175
4.4,100,199.0,27510,5,1293
3.6,100,299.0,12261,5,1175
3.3,50,150.0,7342,5,228
3.6,100,250.0,9810,5,1476
3.5,100,150.0,23002,5,282
2.7,20,199.0,28745,5,306
3.4,50,199.0,13081,5,432
3.9,20,200.0,34103,5,1158
3.5,100,250.0,30913,5,800
3.0,20,200.0,21557,5,1443
3.3,50,250.0,19898,5,328
3.6,20,250.0,26053,5,972
3.3,100,250.0,5146,5,282
2.8,50,250.0,22490,5,282
2.8,20,250.0,24451,5,816
3.4,20,150.0,15620,5,1443
3.9,20,250.0,20395,5,774
4.3,1,300.0,9720,7,1175
4.0,1,450.0,18185,7,50
3.9,1,300.0,32731,7,816
4.1,1,200.0,32732,7,1166
4.2,500,175.0,9721,7,816
4.1,500,175.0,10139,7,1175
4.0,500,250.0,20611,7,816
